"lat","lon","fdate","mean_cpue","sum_KG","area"
7,65.25,"2016-01-01",0.188679245,100,"as"
3,68.5,"2016-01-07",0.375,120,"as"
9.5,68.75,"2016-01-08",0.2,40,"as"
9.25,68.75,"2016-01-11",0.3,180,"as"
4.25,63.75,"2016-01-13",0.333333333,180,"as"
9.25,68.75,"2016-01-13",0.1,71,"as"
2,63.25,"2016-01-16",0.5,250,"as"
2.75,68.5,"2016-01-16",0.2,80,"as"
9,68.75,"2016-01-16",0.3,98,"as"
3.25,68.25,"2016-01-17",3.333333333,400,"as"
3.5,68.25,"2016-01-17",0.5,160,"as"
1.25,50,"2016-01-18",0.5,200,"as"
3.5,68.25,"2016-01-18",1.666666667,250,"as"
3.75,68,"2016-01-18",0.25,80,"as"
1.75,69,"2016-01-19",0.333333333,150,"as"
3.5,68.25,"2016-01-19",4,300,"as"
2,68.25,"2016-01-20",0.5,200,"as"
2,68.25,"2016-01-20",0.5,120,"as"
3.5,68.25,"2016-01-20",0.125,40,"as"
8.25,68,"2016-01-20",0.8,400,"as"
8.75,68.5,"2016-01-20",4.5,180,"as"
8,68,"2016-01-21",0.3,120,"as"
8.25,68.25,"2016-01-21",0.4,110,"as"
9,68.5,"2016-01-21",0.711743772,500,"as"
2.75,68.25,"2016-01-22",0.375,140,"as"
3.25,68,"2016-01-22",0.125,50,"as"
5.25,65.75,"2016-01-22",0.2,180,"as"
7.25,64.5,"2016-01-22",0.625,40,"as"
8.75,68.5,"2016-01-22",0.416666667,200,"as"
9,68.5,"2016-01-22",1.067615658,800,"as"
2.25,66.25,"2016-01-23",0.1,39,"as"
2.75,68.25,"2016-01-23",0.5,200,"as"
3.25,68.25,"2016-01-23",0.125,40,"as"
7.25,64.5,"2016-01-23",0.375,100,"as"
8,67.75,"2016-01-23",0.4,200,"as"
8,68.25,"2016-01-23",0.4,160,"as"
8.25,68.25,"2016-01-23",0.3,90,"as"
10,67.25,"2016-01-23",0.943396226,250,"as"
3,68.5,"2016-01-24",0.625,180,"as"
4.5,68,"2016-01-24",1.333333333,400,"as"
6.75,64.5,"2016-01-24",0.25,80,"as"
7,64.75,"2016-01-24",2.166666667,1000,"as"
7.75,67.75,"2016-01-24",0.3,180,"as"
7.75,68,"2016-01-24",0.3,120,"as"
8.75,68.75,"2016-01-24",0.416666667,120,"as"
2.25,69,"2016-01-25",1.25,400,"as"
3.75,68.25,"2016-01-25",0.75,210,"as"
4.75,67,"2016-01-25",0.8,180,"as"
6.25,68.5,"2016-01-25",0.111111111,40,"as"
7.5,66.75,"2016-01-25",0.6,240,"as"
7.75,68,"2016-01-25",0.4,120,"as"
7.75,68,"2016-01-25",0.1,50,"as"
8.25,66.5,"2016-01-25",0.266903915,200,"as"
3.75,68,"2016-01-26",0.5,200,"as"
4.75,65,"2016-01-26",0.2,90,"as"
5.75,65.25,"2016-01-26",0.8,180,"as"
6.75,64,"2016-01-26",1.416666667,800,"as"
6.75,64.25,"2016-01-26",0.625,220,"as"
7.25,67.25,"2016-01-26",0.8,350,"as"
7.5,67.5,"2016-01-26",0.1,30,"as"
7.5,67.75,"2016-01-26",0.5,180,"as"
7.75,68,"2016-01-26",0.6,170,"as"
8.25,66.5,"2016-01-26",0.177935943,120,"as"
2.25,69,"2016-01-27",0.5,250,"as"
3.75,68,"2016-01-27",0.625,180,"as"
6.5,66.75,"2016-01-27",0.3,140,"as"
6.5,67,"2016-01-27",0.1,35,"as"
6.75,65.25,"2016-01-27",0.5,160,"as"
7.25,67.75,"2016-01-27",0.333333333,140,"as"
7.5,66.5,"2016-01-27",1.603773585,450,"as"
7.5,67.5,"2016-01-27",0.6,300,"as"
2,69.5,"2016-01-28",0.222222222,60,"as"
2.25,69,"2016-01-28",1.25,400,"as"
5.5,65,"2016-01-28",0.6,300,"as"
6.75,64,"2016-01-28",1.25,700,"as"
2.25,69,"2016-01-29",0.4,200,"as"
3.5,68,"2016-01-29",1.25,350,"as"
4.75,66.75,"2016-01-29",0.266666667,60,"as"
5.5,65,"2016-01-29",0.4,190,"as"
5.75,65.25,"2016-01-29",0.5,210,"as"
6.5,64,"2016-01-29",0.2,60,"as"
6.5,64,"2016-01-29",0.2,60,"as"
6.5,68.25,"2016-01-29",0.1,30,"as"
7,66.5,"2016-01-29",0.2,100,"as"
7.25,65.25,"2016-01-29",0.471698113,125,"as"
2,69.5,"2016-01-30",0.222222222,60,"as"
6,68.5,"2016-01-30",0.181818182,68,"as"
7.25,66.75,"2016-01-30",0.2,90,"as"
9.5,65.25,"2016-01-30",0.355871886,260,"as"
3.25,67.75,"2016-01-31",0.133333333,25,"as"
4,67.5,"2016-01-31",0.777777778,200,"as"
4.25,66.25,"2016-01-31",0.2,91,"as"
5.5,65.25,"2016-01-31",0.1,30,"as"
5.75,65.25,"2016-01-31",1,270,"as"
6,65.25,"2016-01-31",0.7,275,"as"
3.25,67.75,"2016-02-01",0.1,61,"as"
3.25,68.5,"2016-02-01",0.533333333,100,"as"
4.5,67,"2016-02-01",0.777777778,250,"as"
6.25,65.25,"2016-02-01",0.6,250,"as"
6.75,64.75,"2016-02-01",0.283018868,90,"as"
3.25,68.25,"2016-02-02",0.2,90,"as"
4.5,65.75,"2016-02-02",2.875,120,"as"
4.75,67,"2016-02-02",1.111111111,350,"as"
5,65,"2016-02-02",0.090909091,40,"as"
5,66.25,"2016-02-02",1,450,"as"
6.25,68.25,"2016-02-02",0.8,350,"as"
9,67.25,"2016-02-02",0.222222222,60,"as"
5,66.5,"2016-02-03",1,400,"as"
6,66.5,"2016-02-03",0.555555556,200,"as"
7,65.75,"2016-02-03",0.4,160,"as"
7.5,65.25,"2016-02-03",1,30,"as"
11.5,64.5,"2016-02-03",0.4,240,"as"
4.5,67.25,"2016-02-04",0.25,100,"as"
6,66.5,"2016-02-04",0.111111111,30,"as"
7.25,64.5,"2016-02-04",1,400,"as"
7.25,64.5,"2016-02-04",1,400,"as"
7.5,66.75,"2016-02-04",0.1,35,"as"
7.5,66.75,"2016-02-04",0.7,250,"as"
9,65.5,"2016-02-04",0.111111111,50,"as"
9,67,"2016-02-04",0.090909091,35,"as"
4.75,66.5,"2016-02-05",0.444444444,120,"as"
6.5,64.5,"2016-02-05",0.188679245,500,"as"
7.5,66.5,"2016-02-05",3,600,"as"
9,65,"2016-02-05",0.111111111,40,"as"
3.75,67.5,"2016-02-06",0.777777778,300,"as"
7.25,68.25,"2016-02-06",0.625,190,"as"
8.5,68.75,"2016-02-06",0.088967972,80,"as"
7.25,64.75,"2016-02-07",0.094339623,30,"as"
8.75,64.25,"2016-02-07",0.111111111,30,"as"
8.75,67.75,"2016-02-07",0.333333333,100,"as"
6.5,67.25,"2016-02-08",3,800,"as"
7.5,64.25,"2016-02-08",3,800,"as"
7.5,66.25,"2016-02-08",0.454545455,200,"as"
8,66,"2016-02-08",0.090909091,30,"as"
8.75,68.75,"2016-02-08",0.444444444,150,"as"
7.25,66.25,"2016-02-09",0.181818182,80,"as"
8.75,64,"2016-02-09",0.111111111,40,"as"
7.25,66.5,"2016-02-11",0.9,275,"as"
7.5,68.25,"2016-02-11",0.25,80,"as"
7.25,66.75,"2016-02-12",1.428571429,250,"as"
2,69.25,"2016-02-13",0.333333333,75,"as"
2,69.5,"2016-02-13",0.522875817,160,"as"
3.25,68,"2016-02-13",0.2,90,"as"
6.75,64.5,"2016-02-13",1.698113208,450,"as"
7,66.75,"2016-02-13",1.098901099,250,"as"
7,69,"2016-02-13",0.727272727,32,"as"
2.25,69,"2016-02-14",0.222222222,60,"as"
2.25,69,"2016-02-14",0.625,340,"as"
7.5,68.25,"2016-02-14",0.5,210,"as"
8.75,65.75,"2016-02-14",0.111111111,40,"as"
9,66.5,"2016-02-14",0.7,180,"as"
2.75,68.75,"2016-02-15",0.222222222,60,"as"
3,69,"2016-02-15",0.25,120,"as"
9.5,66.5,"2016-02-15",0.4,140,"as"
11.25,66.5,"2016-02-15",0.211640212,40,"as"
11.25,66.5,"2016-02-15",0.133333333,30,"as"
4,68,"2016-02-16",0.555555556,150,"as"
4.75,64.75,"2016-02-16",0.173913043,75,"as"
6.5,65.75,"2016-02-16",0.5,320,"as"
9.25,66.5,"2016-02-16",0.4,180,"as"
6.75,64.75,"2016-02-17",0.283018868,80,"as"
11.25,66.25,"2016-02-17",0.3,70,"as"
4,68.25,"2016-02-18",0.375,180,"as"
5.5,63,"2016-02-18",0.32967033,90,"as"
6,62,"2016-02-18",1.648351648,450,"as"
6,67,"2016-02-18",0.5,300,"as"
6.5,67.25,"2016-02-18",0.111111111,50,"as"
7.5,62,"2016-02-18",0.317460317,120,"as"
8.25,66.75,"2016-02-18",0.1,25,"as"
3,65,"2016-02-19",0.210526316,70,"as"
3.5,68.25,"2016-02-19",0.222222222,50,"as"
3.5,68.5,"2016-02-19",0.375,200,"as"
7.5,62,"2016-02-19",0.7,160,"as"
7.75,67,"2016-02-19",0.4,120,"as"
3.25,68.75,"2016-02-20",0.444444444,90,"as"
3.25,68.75,"2016-02-20",1,500,"as"
4,61.5,"2016-02-20",0.32967033,120,"as"
6,67,"2016-02-20",0.2,120,"as"
6.25,67.5,"2016-02-20",0.111111111,40,"as"
7,60.5,"2016-02-20",2.6,360,"as"
7.75,62.5,"2016-02-20",0.423280423,80,"as"
7.75,62.5,"2016-02-20",0.133333333,30,"as"
3,53.25,"2016-02-21",1.3,300,"as"
3,68.75,"2016-02-21",0.333333333,60,"as"
3,68.75,"2016-02-21",0.875,400,"as"
4,61.75,"2016-02-21",0.32967033,90,"as"
4,65.75,"2016-02-21",2.421052632,800,"as"
5,61.75,"2016-02-21",0.434782609,200,"as"
5,65.25,"2016-02-21",0.608695652,300,"as"
5.25,63,"2016-02-21",1.098901099,250,"as"
6.25,67.75,"2016-02-21",0.222222222,80,"as"
7.25,67,"2016-02-21",0.3,90,"as"
3,68.5,"2016-02-22",0.75,420,"as"
3,68.75,"2016-02-22",0.444444444,90,"as"
4.25,61.75,"2016-02-22",0.879120879,240,"as"
5,61,"2016-02-22",0.5,100,"as"
5,65,"2016-02-22",0.173913043,80,"as"
5.25,58.5,"2016-02-22",2.4,540,"as"
5.25,63,"2016-02-22",5.494505495,125,"as"
5.75,66.25,"2016-02-22",0.2,150,"as"
6,66.25,"2016-02-22",0.5,200,"as"
6,67.75,"2016-02-22",0.111111111,40,"as"
6.5,62.75,"2016-02-22",0.105820106,30,"as"
7.25,66.75,"2016-02-22",0.266666667,60,"as"
3,68.75,"2016-02-23",0.444444444,100,"as"
3.25,68.75,"2016-02-23",0.375,200,"as"
4,66,"2016-02-23",1.263157895,500,"as"
5,61,"2016-02-23",0.5,120,"as"
5,64.75,"2016-02-23",0.260869565,120,"as"
5.25,65.5,"2016-02-23",0.8,800,"as"
5.75,67.75,"2016-02-23",0.222222222,60,"as"
6.75,68,"2016-02-23",0.4,110,"as"
9,67.25,"2016-02-23",0.2,80,"as"
3,68.75,"2016-02-24",1.111111111,300,"as"
3,68.75,"2016-02-24",0.625,400,"as"
4.75,61,"2016-02-24",0.347826087,150,"as"
5,61,"2016-02-24",0.7,180,"as"
5,61.25,"2016-02-24",0.32967033,80,"as"
5.75,65.75,"2016-02-24",0.317460317,150,"as"
6,66.25,"2016-02-24",0.8,210,"as"
6.75,68,"2016-02-24",0.1,25,"as"
7.25,66.5,"2016-02-24",1,450,"as"
3,68.75,"2016-02-25",0.555555556,150,"as"
3.25,68.75,"2016-02-25",0.5,300,"as"
4.25,65.5,"2016-02-25",0.3,200,"as"
5,62.25,"2016-02-25",0.347826087,300,"as"
5,67,"2016-02-25",0.1,80,"as"
5.25,66,"2016-02-25",0.5,250,"as"
5.5,66.5,"2016-02-25",0.444444444,200,"as"
6,60,"2016-02-25",1.5,220,"as"
6.25,66.25,"2016-02-25",0.6,300,"as"
3,58.5,"2016-02-26",0.375,260,"as"
3,68.5,"2016-02-26",0.25,160,"as"
3.75,66.5,"2016-02-26",0.43956044,200,"as"
3.75,66.5,"2016-02-26",0.555555556,180,"as"
4.25,65.25,"2016-02-26",0.8,750,"as"
5,66.5,"2016-02-26",0.2,140,"as"
5.75,64,"2016-02-26",0.7,200,"as"
6,60,"2016-02-26",0.4,60,"as"
6,65.75,"2016-02-26",0.166666667,70,"as"
7.75,68.5,"2016-02-26",0.111111111,30,"as"
3.5,68,"2016-02-27",0.375,240,"as"
3.5,68.25,"2016-02-27",0.444444444,120,"as"
3.75,67.5,"2016-02-27",0.333333333,120,"as"
4,66.5,"2016-02-27",0.2,75,"as"
5.5,61.75,"2016-02-27",0.43956044,190,"as"
5.75,64.25,"2016-02-27",0.347826087,150,"as"
6,67.75,"2016-02-27",0.4,150,"as"
6.5,66.5,"2016-02-27",0.1,60,"as"
7,63,"2016-02-27",0.6,135,"as"
7.25,67.75,"2016-02-27",0.363636364,150,"as"
9.25,66.75,"2016-02-27",0.952380952,270,"as"
3.75,68,"2016-02-28",0.111111111,30,"as"
3.75,68,"2016-02-28",0.625,400,"as"
5.25,67.25,"2016-02-28",0.3,90,"as"
6,64,"2016-02-28",0.5,200,"as"
6,64.25,"2016-02-28",0.347826087,160,"as"
6.75,64.75,"2016-02-28",2.333333333,700,"as"
7,67.5,"2016-02-28",1,250,"as"
8.5,66.5,"2016-02-28",0.4,110,"as"
3.75,68,"2016-02-29",0.777777778,200,"as"
3.75,68,"2016-02-29",0.5,320,"as"
5.75,63,"2016-02-29",0.6,250,"as"
6.25,62.5,"2016-02-29",0.32967033,60,"as"
6.5,63,"2016-02-29",2.546296296,800,"as"
6.5,63.75,"2016-02-29",1.5,400,"as"
7.25,66.25,"2016-02-29",0.4,180,"as"
7.25,67.25,"2016-02-29",0.181818182,80,"as"
7.75,66,"2016-02-29",0.4,200,"as"
7.75,66.5,"2016-02-29",0.5,360,"as"
8.75,66.75,"2016-02-29",0.1,40,"as"
9.25,66.5,"2016-02-29",0.634920635,180,"as"
3.75,68.25,"2016-03-01",0.555555556,160,"as"
3.75,68.25,"2016-03-01",0.375,340,"as"
5.25,69,"2016-03-01",0.210526316,65,"as"
5.5,57.75,"2016-03-01",1.3,250,"as"
5.75,63,"2016-03-01",0.7,250,"as"
6.25,63.5,"2016-03-01",0.434782609,200,"as"
6.5,63,"2016-03-01",2.314814815,800,"as"
6.5,68.75,"2016-03-01",0.833333333,325,"as"
6.75,63.75,"2016-03-01",0.8,200,"as"
7.5,67,"2016-03-01",0.6,140,"as"
8.5,66.5,"2016-03-01",0.2,80,"as"
8.75,59.75,"2016-03-01",4,800,"as"
9.25,68,"2016-03-01",0.952380952,270,"as"
3.75,68.25,"2016-03-02",0.777777778,200,"as"
5.25,58,"2016-03-02",1.6,270,"as"
7,63.75,"2016-03-02",0.1,40,"as"
7,65.25,"2016-03-02",0.1,40,"as"
7.5,64,"2016-03-02",0.5,280,"as"
7.75,66.25,"2016-03-02",0.2,70,"as"
8,66.75,"2016-03-02",0.222222222,60,"as"
8.75,59.5,"2016-03-02",3.5,700,"as"
8.75,67.5,"2016-03-02",0.266666667,60,"as"
9,67.25,"2016-03-02",0.25,60,"as"
6.25,63.5,"2016-03-03",0.347826087,160,"as"
6.5,63,"2016-03-03",1.3,500,"as"
6.75,63.5,"2016-03-03",0.4,150,"as"
6.75,64,"2016-03-03",0.6,150,"as"
7.5,60.5,"2016-03-03",0.188679245,70,"as"
7.75,61.75,"2016-03-03",0.666666667,200,"as"
9,60,"2016-03-03",3.7,750,"as"
9.25,67,"2016-03-03",0.5,240,"as"
6.25,63.5,"2016-03-04",0.173913043,80,"as"
6.5,63.25,"2016-03-04",0.659340659,240,"as"
6.75,58,"2016-03-04",1.8,300,"as"
6.75,63,"2016-03-04",3.703703704,1200,"as"
7.25,64.75,"2016-03-04",1.111111111,400,"as"
7.5,65,"2016-03-04",0.7,175,"as"
8,69,"2016-03-04",1.157894737,450,"as"
8.5,59.25,"2016-03-04",5,1000,"as"
8.5,63.75,"2016-03-04",0.10989011,35,"as"
8.75,65.5,"2016-03-04",0.125,60,"as"
8.75,66.75,"2016-03-04",0.1,60,"as"
6.25,63.25,"2016-03-05",0.086956522,50,"as"
6.5,63.5,"2016-03-05",0.2,75,"as"
6.5,64,"2016-03-05",0.222222222,70,"as"
6.75,65.75,"2016-03-05",0.3,120,"as"
8.25,61.25,"2016-03-05",0.682926829,210,"as"
8.25,68.75,"2016-03-05",0.421052632,170,"as"
8.5,59.25,"2016-03-05",3,600,"as"
6.25,62.75,"2016-03-06",0.173913043,80,"as"
6.5,63.5,"2016-03-06",0.21978022,100,"as"
6.75,63,"2016-03-06",0.555555556,250,"as"
6.75,65.75,"2016-03-06",0.4,120,"as"
8.25,61,"2016-03-06",2.380952381,600,"as"
8.75,68.75,"2016-03-06",0.4,200,"as"
6,63,"2016-03-07",0.2,60,"as"
6.25,63.25,"2016-03-07",0.333333333,60,"as"
6.25,63.5,"2016-03-07",0.777777778,300,"as"
6.5,65.75,"2016-03-07",0.2,80,"as"
8,68,"2016-03-07",0.1,120,"as"
8.25,68.5,"2016-03-07",0.125,35,"as"
6,63,"2016-03-08",0.2,60,"as"
6,63.5,"2016-03-08",0.111111111,20,"as"
6.25,63.5,"2016-03-08",0.777777778,350,"as"
6.75,64.75,"2016-03-08",1.4,300,"as"
7,64.25,"2016-03-08",0.462962963,200,"as"
7.75,60.5,"2016-03-08",0.119047619,35,"as"
8,66.5,"2016-03-08",1.666666667,500,"as"
8,67,"2016-03-08",0.4,400,"as"
8,67.75,"2016-03-08",0.6,600,"as"
3.25,65,"2016-03-09",0.3,260,"as"
6.75,68.25,"2016-03-09",0.125,40,"as"
7.75,61.25,"2016-03-09",1.785714286,400,"as"
3.25,65,"2016-03-10",0.5,420,"as"
6,63.25,"2016-03-10",0.3,100,"as"
6,63.5,"2016-03-10",0.555555556,150,"as"
6.75,65.5,"2016-03-10",0.277777778,100,"as"
7,65.75,"2016-03-10",0.659340659,240,"as"
7.5,61.25,"2016-03-10",0.833333333,850,"as"
8.25,69.25,"2016-03-10",0.529100529,150,"as"
3.25,65,"2016-03-11",0.7,600,"as"
5.25,64.25,"2016-03-11",0.2,70,"as"
7,62.25,"2016-03-11",0.1,25,"as"
7.25,61.5,"2016-03-11",0.333333333,150,"as"
9,67.75,"2016-03-11",0.8,720,"as"
3.75,61,"2016-03-12",0.25,60,"as"
7.5,61,"2016-03-12",0.188679245,100,"as"
7.5,62,"2016-03-12",0.780487805,200,"as"
8.25,69,"2016-03-12",0.423280423,200,"as"
9.5,64,"2016-03-12",0.222222222,60,"as"
4,68.25,"2016-03-13",0.125,30,"as"
6,65.5,"2016-03-13",0.6,230,"as"
8,61.5,"2016-03-13",0.666666667,150,"as"
8,68.75,"2016-03-13",0.6,450,"as"
8,69.25,"2016-03-13",0.21978022,80,"as"
8,69.25,"2016-03-13",0.444444444,200,"as"
9.25,60.5,"2016-03-13",1.090909091,30,"as"
2.5,68,"2016-03-14",0.52173913,275,"as"
4.25,68,"2016-03-14",0.25,60,"as"
7.5,61.5,"2016-03-14",0.094339623,50,"as"
9.25,60.5,"2016-03-14",1.454545455,40,"as"
4.5,67.75,"2016-03-15",0.25,80,"as"
6.25,65.75,"2016-03-15",0.777777778,250,"as"
7,63.25,"2016-03-15",0.292682927,75,"as"
7.75,62.5,"2016-03-15",0.337078652,80,"as"
10.5,61.25,"2016-03-15",1.333333333,200,"as"
4.5,68,"2016-03-16",0.125,20,"as"
4.75,68.5,"2016-03-16",0.695652174,350,"as"
6,65.5,"2016-03-16",0.2,50,"as"
6.75,63.25,"2016-03-16",0.195121951,60,"as"
7.25,62.75,"2016-03-16",2.471910112,500,"as"
7.75,64.5,"2016-03-16",0.25,80,"as"
9,61.25,"2016-03-16",0.533333333,50,"as"
4.5,68,"2016-03-17",0.25,60,"as"
7.75,59.5,"2016-03-17",0.933333333,100,"as"
5.25,60,"2016-03-18",1.066666667,160,"as"
7.25,64,"2016-03-18",0.449438202,100,"as"
5,69.25,"2016-03-19",0.125,40,"as"
5.5,59.75,"2016-03-19",1.066666667,200,"as"
5.5,68.25,"2016-03-19",0.125,40,"as"
6,62.75,"2016-03-19",0.471698113,200,"as"
7.5,63.75,"2016-03-19",0.083333333,40,"as"
4.75,68,"2016-03-20",0.125,30,"as"
5.75,62.75,"2016-03-20",0.943396226,400,"as"
6.25,64.75,"2016-03-20",1.853658537,500,"as"
7,63.75,"2016-03-20",0.224719101,50,"as"
5.75,59.75,"2016-03-21",0.666666667,125,"as"
6.5,64.75,"2016-03-21",0.780487805,230,"as"
6.75,64,"2016-03-21",0.337078652,75,"as"
6.75,68.75,"2016-03-21",0.125,40,"as"
1.25,69.25,"2016-03-22",0.333333333,150,"as"
6,60.5,"2016-03-22",1.333333333,200,"as"
6.25,64.75,"2016-03-22",0.292682927,110,"as"
6.5,66.75,"2016-03-22",0.526315789,200,"as"
1.25,69,"2016-03-23",0.222222222,100,"as"
4.25,67.75,"2016-03-23",0.625,50,"as"
5.5,62.5,"2016-03-23",0.283018868,140,"as"
5.75,63.75,"2016-03-23",0.3,150,"as"
6.75,66.75,"2016-03-23",1.052631579,400,"as"
0.5,68,"2016-03-24",0.666666667,400,"as"
7.75,61.5,"2016-03-24",3,400,"as"
5.5,63.25,"2016-03-25",1.132075472,350,"as"
6.75,57.5,"2016-03-25",0.166666667,30,"as"
10.5,62.25,"2016-03-25",2,200,"as"
5.75,64.25,"2016-03-26",1.052631579,400,"as"
6.25,59.75,"2016-03-26",0.266666667,40,"as"
7.75,67,"2016-03-26",0.1,40,"as"
5.75,64.25,"2016-03-27",0.421052632,200,"as"
10.75,63.75,"2016-03-27",1.5,200,"as"
5.25,65.25,"2016-03-28",0.25,40,"as"
5.75,68,"2016-03-28",0.444444444,200,"as"
3.5,68,"2016-03-29",0.888888889,300,"as"
10.5,66.75,"2016-03-29",0.3,120,"as"
6.5,61.25,"2016-03-30",0.533333333,100,"as"
3.5,68,"2016-04-02",2.222222222,500,"as"
7.25,64.5,"2016-04-02",0.105263158,40,"as"
7.5,62.25,"2016-04-02",0.266666667,50,"as"
3.5,68,"2016-04-03",2.222222222,500,"as"
6.25,67,"2016-04-03",0.666666667,210,"as"
3.5,68,"2016-04-05",1.666666667,500,"as"
3.5,68.25,"2016-04-07",1.666666667,800,"as"
8,67.75,"2016-04-08",0.181818182,50,"as"
2.75,63.75,"2016-04-10",0.444444444,160,"as"
3,63.5,"2016-04-11",0.444444444,120,"as"
11.75,64,"2016-04-13",0.25,65,"as"
3,68,"2016-04-15",0.444444444,160,"as"
11.25,64.25,"2016-04-15",0.75,230,"as"
3.25,67.5,"2016-04-16",0.333333333,110,"as"
5.25,68.5,"2016-04-17",0.666666667,125,"as"
11.25,64.25,"2016-04-17",0.625,210,"as"
5,68.25,"2016-04-18",0.111111111,501,"as"
3.5,68.5,"2016-04-19",0.8,180,"as"
3.5,68.5,"2016-04-20",0.533333333,120,"as"
11.75,63.75,"2016-04-20",0.125,400,"as"
3.5,66.5,"2016-04-21",0.4,100,"as"
6.25,68.5,"2016-04-21",0.111111111,40,"as"
4.25,64.25,"2016-04-22",0.222222222,100,"as"
11.75,64.75,"2016-04-22",2,520,"as"
3.5,66.5,"2016-04-23",0.266666667,40,"as"
3.75,64.25,"2016-04-23",0.222222222,100,"as"
11.5,64,"2016-04-23",0.094339623,400,"as"
11.5,64.25,"2016-04-23",0.7,250,"as"
3.75,64.25,"2016-04-24",0.222222222,80,"as"
3.75,66,"2016-04-24",0.133333333,40,"as"
11.25,64.25,"2016-04-24",0.416666667,150,"as"
3.75,64.25,"2016-04-25",0.444444444,140,"as"
11.5,64,"2016-04-25",0.849056604,200,"as"
11.25,62.75,"2016-04-26",0.583333333,210,"as"
3.5,65.5,"2016-04-27",0.222222222,100,"as"
11.5,64,"2016-04-27",0.222222222,70,"as"
11.5,64,"2016-04-27",0.660377358,150,"as"
11,63,"2016-04-28",0.8,250,"as"
11.25,62.75,"2016-04-28",0.583333333,280,"as"
5.75,68.5,"2016-04-29",0.444444444,200,"as"
10.5,63.5,"2016-04-29",0.25,120,"as"
10.75,63.5,"2016-04-29",0.566037736,100,"as"
11,64,"2016-04-29",0.888888889,250,"as"
4,63.25,"2016-04-30",0.222222222,80,"as"
4.25,63.25,"2016-05-01",0.222222222,80,"as"
10.25,62.75,"2016-05-02",1.25,450,"as"
5,65.25,"2016-05-03",0.444444444,200,"as"
10.75,63.25,"2016-05-03",0.377358491,120,"as"
9.25,63.5,"2016-05-04",0.25,120,"as"
10,64.75,"2016-05-05",1.320754717,450,"as"
10.75,63.25,"2016-05-05",0.566037736,100,"as"
2.5,65.5,"2016-05-06",0.533333333,160,"as"
5.25,67.5,"2016-05-06",0.222222222,70,"as"
7,67.5,"2016-05-06",1,400,"as"
6,68,"2016-05-07",0.222222222,80,"as"
3,67.25,"2016-05-08",0.4,120,"as"
6.5,68.5,"2016-05-09",0.222222222,80,"as"
7.25,67.75,"2016-05-09",0.266666667,50,"as"
4.5,55,"2016-05-10",1.25,35,"as"
6.5,67.5,"2016-05-10",1,350,"as"
7.25,67.75,"2016-05-10",0.4,100,"as"
10.5,62.75,"2016-05-10",1,400,"as"
6.75,67.75,"2016-05-11",1,400,"as"
7.25,67.75,"2016-05-11",0.533333333,120,"as"
7.75,69,"2016-05-11",0.111111111,40,"as"
5.75,67.5,"2016-05-12",0.266666667,66,"as"
6.5,67.5,"2016-05-12",1,450,"as"
10.75,62.75,"2016-05-12",0.7,250,"as"
4.25,68.5,"2016-05-13",0.1,40,"as"
6.5,67.5,"2016-05-14",1,475,"as"
11,63.5,"2016-05-14",0.3,90,"as"
4.5,66.75,"2016-05-15",0.3,100,"as"
6.5,67.5,"2016-05-15",1,500,"as"
4.25,66.75,"2016-05-16",0.7,300,"as"
6.5,67.5,"2016-05-16",1,425,"as"
10.75,63.5,"2016-05-16",0.8,350,"as"
9.75,57.25,"2016-05-17",0.5,30,"as"
3,66.75,"2016-05-18",0.2,74,"as"
6.5,67.5,"2016-05-18",1,30,"as"
9.5,63,"2016-05-18",0.4,180,"as"
3.25,66.5,"2016-05-19",0.3,100,"as"
6,67.75,"2016-05-19",2,900,"as"
3.25,66.75,"2016-05-20",0.5,200,"as"
6,66.75,"2016-05-20",2,950,"as"
3.25,66.5,"2016-05-21",0.1,50,"as"
3.25,66.75,"2016-05-23",0.2,80,"as"
5,65.25,"2016-05-23",0.7,400,"as"
3.25,69,"2016-05-24",0.3,1000,"as"
5,65,"2016-05-24",0.2,70,"as"
7.5,63.5,"2016-05-26",0.2,100,"as"
3.25,61.75,"2016-05-28",0.5,100,"as"
5,67.5,"2016-05-28",0.25,70,"as"
7,67.5,"2016-05-29",1.375,350,"as"
4.5,63.25,"2016-05-30",0.6,30,"as"
5,67.75,"2016-05-30",1.625,500,"as"
5.25,67.75,"2016-05-31",1,300,"as"
5.5,65.25,"2016-05-31",0.5,400,"as"
10.5,63,"2016-05-31",0.2,80,"as"
5.25,65.25,"2016-06-01",0.4,120,"as"
10.25,63,"2016-06-01",0.6,50,"as"
5.25,65,"2016-06-02",0.2,100,"as"
10.5,58.25,"2016-06-03",0.3,40,"as"
10.5,58.5,"2016-06-04",0.2,60,"as"
9.75,63.25,"2016-06-06",0.555555556,700,"as"
10.5,63.25,"2016-06-09",0.583333333,210,"as"
10.75,63.75,"2016-06-10",0.185185185,200,"as"
11,64,"2016-06-10",0.555555556,150,"as"
10,64.25,"2016-06-12",1.481481481,1600,"as"
2.75,68,"2016-06-13",0.8,450,"as"
3.5,64.5,"2016-06-13",0.125,30,"as"
10,64.25,"2016-06-14",16,1600,"as"
7,67.75,"2016-06-16",0.4,80,"as"
10.25,64.25,"2016-06-16",0.648148148,700,"as"
10.25,64.5,"2016-06-18",0.555555556,500,"as"
3.75,64,"2016-06-20",0.6,140,"as"
